check_id, CheckingPeer, State, Time
1,hermion,Start, 15:15
1,hermion,Success, 15:42
2,dracoma,Start, 08:45
2,dracoma,Success, 09:35
3,hermion,Start, 08:45
3,hermion,Success, 09:08
4,harrypo,Start, 10:00
4,harrypo,Failure, 10:06
5,ronweas,Start, 12:15
5,ronweas,Success, 12:25
6,neville,Start, 09:45
6,neville,Success, 10:20
7,harrypo,Start, 06:44
7,harrypo,Success, 06:59
8,neville,Start, 06:44
8,neville,Success, 07:24
9,hermion,Start, 10:24
9,hermion,Success, 11:04
10,dracoma,Start, 11:00
10,dracoma,Success, 11:55
11,ronweas,Start, 15:42
11,ronweas,Success, 16:22
12,dracoma,Start, 18:02
12,dracoma,Success, 18:42
13,harrypo,Start, 15:31
13,harrypo,Success, 16:02
14,dracoma,Start, 16:02
14,dracoma,Success, 17:12
15,hermion,Start, 16:30
15,hermion,Success, 16:50
16,dracoma,Start, 10:00
16,dracoma,Success, 11:00
